agent_exit_code,ast_parse_calls,commit,duration_ms,git_show_calls,history_path,impacted_external,impacted_internal,impacted_internal_ratio,impacted_test,impacted_total,num_changed_targets,num_files_changed,num_targets,ok,patch_added_lines,patch_path,patch_removed_lines,patch_total_lines,runner_ms,subprocess_calls,verifier_checked,verifier_ok
0,0,c597d9cb,2060,0,D:\locbench\analyzer\runs\fastapi\agent_batch\20260126_205121\c597d9cb_20260126_205225\history.json,0,0,0.0,0,0,0,0,0,True,0,D:\locbench\analyzer\runs\fastapi\agent_batch\20260126_205121\c597d9cb_20260126_205225\docstring_patch_c597d9cb.diff,0,0,2172,2,0,True
0,0,a96dd013,2116,0,D:\locbench\analyzer\runs\fastapi\agent_batch\20260126_205121\a96dd013_20260126_205227\history.json,0,0,0.0,0,0,0,0,0,True,0,D:\locbench\analyzer\runs\fastapi\agent_batch\20260126_205121\a96dd013_20260126_205227\docstring_patch_a96dd013.diff,0,0,2226,2,0,True
0,0,a456e92a,2267,0,D:\locbench\analyzer\runs\fastapi\agent_batch\20260126_205121\a456e92a_20260126_205229\history.json,0,0,0.0,0,0,0,0,0,True,0,D:\locbench\analyzer\runs\fastapi\agent_batch\20260126_205121\a456e92a_20260126_205229\docstring_patch_a456e92a.diff,0,0,2393,2,0,True
0,0,1be80f48,2214,0,D:\locbench\analyzer\runs\fastapi\agent_batch\20260126_205121\1be80f48_20260126_205231\history.json,0,0,0.0,0,0,0,0,0,True,0,D:\locbench\analyzer\runs\fastapi\agent_batch\20260126_205121\1be80f48_20260126_205231\docstring_patch_1be80f48.diff,0,0,2331,2,0,True
0,0,e63f382b,2104,0,D:\locbench\analyzer\runs\fastapi\agent_batch\20260126_205121\e63f382b_20260126_205234\history.json,0,0,0.0,0,0,0,0,0,True,0,D:\locbench\analyzer\runs\fastapi\agent_batch\20260126_205121\e63f382b_20260126_205234\docstring_patch_e63f382b.diff,0,0,2237,2,0,True
0,0,7b864acf,2310,0,D:\locbench\analyzer\runs\fastapi\agent_batch\20260126_205121\7b864acf_20260126_205236\history.json,0,0,0.0,0,0,0,0,0,True,0,D:\locbench\analyzer\runs\fastapi\agent_batch\20260126_205121\7b864acf_20260126_205236\docstring_patch_7b864acf.diff,0,0,2434,2,0,True
0,0,e9e0419e,2145,0,D:\locbench\analyzer\runs\fastapi\agent_batch\20260126_205121\e9e0419e_20260126_205238\history.json,0,0,0.0,0,0,0,0,0,True,0,D:\locbench\analyzer\runs\fastapi\agent_batch\20260126_205121\e9e0419e_20260126_205238\docstring_patch_e9e0419e.diff,0,0,2268,2,0,True
0,0,249a776b,2243,0,D:\locbench\analyzer\runs\fastapi\agent_batch\20260126_205121\249a776b_20260126_205241\history.json,0,0,0.0,0,0,0,0,0,True,0,D:\locbench\analyzer\runs\fastapi\agent_batch\20260126_205121\249a776b_20260126_205241\docstring_patch_249a776b.diff,0,0,2354,2,0,True
0,0,97aa8254,2311,0,D:\locbench\analyzer\runs\fastapi\agent_batch\20260126_205121\97aa8254_20260126_205243\history.json,0,0,0.0,0,0,0,0,0,True,0,D:\locbench\analyzer\runs\fastapi\agent_batch\20260126_205121\97aa8254_20260126_205243\docstring_patch_97aa8254.diff,0,0,2443,2,0,True
0,1,1054fbd2,2628,1,D:\locbench\analyzer\runs\fastapi\agent_batch\20260126_205121\1054fbd2_20260126_205246\history.json,13,82,0.6029411764705882,41,136,0,0,0,True,0,D:\locbench\analyzer\runs\fastapi\agent_batch\20260126_205121\1054fbd2_20260126_205246\docstring_patch_1054fbd2.diff,0,0,3472,3,0,True
0,0,effe493a,2187,0,D:\locbench\analyzer\runs\fastapi\agent_batch\20260126_205121\effe493a_20260126_205249\history.json,0,0,0.0,0,0,0,0,0,True,0,D:\locbench\analyzer\runs\fastapi\agent_batch\20260126_205121\effe493a_20260126_205249\docstring_patch_effe493a.diff,0,0,2309,2,0,True
0,0,612a2d20,2308,0,D:\locbench\analyzer\runs\fastapi\agent_batch\20260126_205121\612a2d20_20260126_205251\history.json,0,0,0.0,0,0,0,0,0,True,0,D:\locbench\analyzer\runs\fastapi\agent_batch\20260126_205121\612a2d20_20260126_205251\docstring_patch_612a2d20.diff,0,0,2420,2,0,True
0,0,14f30687,2258,0,D:\locbench\analyzer\runs\fastapi\agent_batch\20260126_205121\14f30687_20260126_205254\history.json,0,0,0.0,0,0,0,0,0,True,0,D:\locbench\analyzer\runs\fastapi\agent_batch\20260126_205121\14f30687_20260126_205254\docstring_patch_14f30687.diff,0,0,2377,2,0,True
0,0,d05b18ec,2315,0,D:\locbench\analyzer\runs\fastapi\agent_batch\20260126_205121\d05b18ec_20260126_205256\history.json,0,0,0.0,0,0,0,0,0,True,0,D:\locbench\analyzer\runs\fastapi\agent_batch\20260126_205121\d05b18ec_20260126_205256\docstring_patch_d05b18ec.diff,0,0,2439,2,0,True
0,0,9a76f2fe,2876,0,D:\locbench\analyzer\runs\fastapi\agent_batch\20260126_205121\9a76f2fe_20260126_205259\history.json,0,0,0.0,0,0,0,0,0,True,0,D:\locbench\analyzer\runs\fastapi\agent_batch\20260126_205121\9a76f2fe_20260126_205259\docstring_patch_9a76f2fe.diff,0,0,3026,2,0,True
