ast_parse_calls,commit,duration_ms,exit_code,git_show_calls,history_path,impacted_external,impacted_internal,impacted_internal_ratio,impacted_test,impacted_total,llm_fallbacks,llm_success_calls,llm_success_rate,llm_total_calls,llm_total_completion_tokens,llm_total_latency_ms,llm_total_prompt_tokens,mode,num_changed_targets,num_files_changed,num_targets,ok,patch_added_lines,patch_path,patch_removed_lines,patch_total_lines,readme_generated,readme_path,run_dir,runner_ms,stderr,style,subprocess_calls,verifier_checked,verifier_ok
0,51d107b,881,0,0,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\51d107b_20260211_100458\history.json,0,0,0.0,0,0,0,0,0.0,0,0,0,0,llm,0,0,0,True,0,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\51d107b_20260211_100458\docstring_patch_51d107b.diff,0,0,False,,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\51d107b_20260211_100458,1654,,numpy,0,0,True
0,24e2bb0,885,0,0,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\24e2bb0_20260211_100500\history.json,0,0,0.0,0,0,0,0,0.0,0,0,0,0,llm,0,0,0,True,0,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\24e2bb0_20260211_100500\docstring_patch_24e2bb0.diff,0,0,False,,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\24e2bb0_20260211_100500,1721,,numpy,0,0,True
0,22c9ec5,877,0,0,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\22c9ec5_20260211_100501\history.json,0,0,0.0,0,0,0,0,0.0,0,0,0,0,llm,0,0,0,True,0,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\22c9ec5_20260211_100501\docstring_patch_22c9ec5.diff,0,0,False,,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\22c9ec5_20260211_100501,1681,,numpy,0,0,True
0,720d81f,868,0,0,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\720d81f_20260211_100503\history.json,0,0,0.0,0,0,0,0,0.0,0,0,0,0,llm,0,0,0,True,0,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\720d81f_20260211_100503\docstring_patch_720d81f.diff,0,0,False,,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\720d81f_20260211_100503,1645,,numpy,0,0,True
0,0964e8d,892,0,0,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\0964e8d_20260211_100505\history.json,0,0,0.0,0,0,0,0,0.0,0,0,0,0,llm,0,0,0,True,0,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\0964e8d_20260211_100505\docstring_patch_0964e8d.diff,0,0,False,,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\0964e8d_20260211_100505,1671,,numpy,0,0,True
1,7608a01,61352,0,1,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\7608a01_20260211_100506\history.json,0,0,0.0,0,0,0,1,1.0,1,2226,60283,5922,llm,0,0,0,True,0,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\7608a01_20260211_100506\docstring_patch_7608a01.diff,0,0,False,,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\7608a01_20260211_100506,62166,,numpy,2,0,True
0,87d70d0,931,0,0,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\87d70d0_20260211_100609\history.json,0,0,0.0,0,0,0,0,0.0,0,0,0,0,llm,0,0,0,True,0,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\87d70d0_20260211_100609\docstring_patch_87d70d0.diff,0,0,False,,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\87d70d0_20260211_100609,1861,,numpy,0,0,True
3,61be29c,86583,0,1,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\61be29c_20260211_100610\history.json,0,1,1.0,0,1,0,2,1.0,2,2376,84996,1466,llm,1,1,1,True,10,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\61be29c_20260211_100610\docstring_patch_61be29c.diff,19,29,True,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\61be29c_20260211_100610\README_61be29c_20260211_100610_4hko14.md,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\61be29c_20260211_100610,87404,,numpy,2,1,True
0,7c2a5d8,2592,0,0,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\7c2a5d8_20260211_100740\history.json,0,0,0.0,0,0,0,0,0.0,0,0,0,0,llm,0,0,0,True,0,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\7c2a5d8_20260211_100740\docstring_patch_7c2a5d8.diff,0,0,False,,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\7c2a5d8_20260211_100740,5289,,numpy,0,0,True
0,654c2bf,986,0,0,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\654c2bf_20260211_100743\history.json,0,0,0.0,0,0,0,0,0.0,0,0,0,0,llm,0,0,0,True,0,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\654c2bf_20260211_100743\docstring_patch_654c2bf.diff,0,0,False,,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\654c2bf_20260211_100743,1805,,numpy,0,0,True
8,b0e917c,170978,0,2,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\b0e917c_20260211_100745\history.json,0,4,0.8,1,5,0,4,1.0,4,4531,168322,21784,llm,3,1,3,True,34,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\b0e917c_20260211_100745\docstring_patch_b0e917c.diff,445,479,True,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\b0e917c_20260211_100745\README_b0e917c_20260211_100745_1il9pv.md,D:\locbench\analyzer\runs\loguru\batch_run\20260210_144248\b0e917c_20260211_100745,171886,,numpy,3,3,True
